order_id,order_date,customer_id,customer_age,customer_gender,region,acquisition_channel,product_category,unit_price_vnd,quantity,discount_pct,gross_revenue_vnd,net_revenue_vnd,unit_cost_vnd,profit_vnd,payment_method,device,delivery_days,customer_satisfaction,is_returned
16,2024-01-03,144,47.0,Nữ,Hà Nội,Google Ads,Mỹ phẩm,207000,5,0.127,1035000,903978,93816,434898,COD,Mobile,1.0,4.0,0
17,2024-01-03,1924,37.0,Nữ,Đà Nẵng,Facebook Ads,Điện tử,227000,4,0.145,908000,776012,151057,171784,COD,Mobile,3.0,4.0,0
18,2024-01-03,1235,27.0,Nam,TP.HCM,Facebook Ads,Điện tử,267000,2,0.192,534000,431587,196114,39359,Thẻ tín dụng,Tablet,1.0,3.0,0
19,2024-01-04,2087,46.0,Nữ,Hải Phòng,Facebook Ads,Thời trang,121000,4,0.098,484000,436391,65347,175003,Ví điện tử,Mobile,4.0,5.0,0
20,2024-01-04,1379,29.0,Nữ,TP.HCM,Google Ads,Sách,95000,3,0.093,285000,258571,61108,75247,Ví điện tử,Tablet,9.0,2.0,0
21,2024-01-04,1924,37.0,Nữ,Hà Nội,Google Ads,Mỹ phẩm,126000,5,0.071,630000,585374,53263,319059,Ví điện tử,Mobile,1.0,4.0,0
22,2024-01-05,1066,18.0,Nữ,Hà Nội,Google Ads,Thời trang,230000,4,0.096,920000,831929,140687,269181,COD,Mobile,2.0,4.0,0
23,2024-01-05,2247,21.0,Nam,TP.HCM,Facebook Ads,Mỹ phẩm,269000,6,0.047,1614000,1538000,116128,841232,Ví điện tử,Tablet,2.0,4.0,0
24,2024-01-05,429,27.0,Nam,TP.HCM,Email,Gia dụng,267000,4,0.147,1068000,911519,148916,315855,Thẻ tín dụng,Mobile,1.0,4.0,0
25,2024-01-05,389,41.0,Nam,TP.HCM,Google Ads,Gia dụng,361000,3,0.056,1083000,1022152,216986,371194,COD,Mobile,2.0,4.0,0
26,2024-01-05,231,34.0,Nam,Hải Phòng,Organic,Gia dụng,203000,1,0.005,203000,201946,121913,80033,Ví điện tử,Mobile,1.0,4.0,0
27,2024-01-05,859,37.0,Nữ,Đà Nẵng,Organic,Thực phẩm,98000,4,0.211,392000,309382,68170,36702,COD,Mobile,4.0,4.0,0
28,2024-01-05,918,26.0,Nữ,TP.HCM,Referral,Thực phẩm,146000,4,0.089,584000,531998,105371,110514,Ví điện tử,Mobile,3.0,3.0,1
29,2024-01-05,442,50.0,Nữ,Hà Nội,Organic,Điện tử,705000,3,0.094,2115000,1916247,496165,427752,COD,Mobile,2.0,4.0,0
30,2024-01-05,1605,27.0,Nam,Hà Nội,Organic,Sách,88000,4,0.204,352000,280031,61798,32839,COD,Mobile,6.0,4.0,0
31,2024-01-05,1169,18.0,Nữ,Hải Phòng,Google Ads,Mỹ phẩm,157000,4,0.118,628000,553696,68607,279268,Ví điện tử,Desktop,3.0,,0
32,2024-01-06,1197,35.0,Nữ,Hà Nội,Facebook Ads,Mỹ phẩm,110000,4,0.123,440000,385799,52039,177643,Chuyển khoản,Mobile,4.0,,0
33,2024-01-06,473,19.0,Nữ,Hà Nội,Organic,Điện tử,393000,6,0.038,2358000,2268968,281414,580484,COD,Mobile,2.0,5.0,1
34,2024-01-06,1013,18.0,Nam,Hải Phòng,Organic,Điện tử,444000,5,0.084,2220000,2033607,310747,479872,COD,Mobile,2.0,4.0,0
35,2024-01-06,1980,38.0,Nữ,Đà Nẵng,Organic,Gia dụng,348000,5,0.035,1740000,1679302,199037,684117,COD,Mobile,0.0,5.0,0
36,2024-01-06,1617,33.0,Nữ,TP.HCM,Email,Thực phẩm,108000,4,0.074,432000,399864,78285,86724,Chuyển khoản,Mobile,1.0,5.0,0
37,2024-01-06,2364,18.0,Nữ,Hà Nội,Organic,Thời trang,110000,3,0.203,330000,262875,65460,66495,COD,Mobile,2.0,5.0,0
38,2024-01-07,801,26.0,Nữ,Đà Nẵng,Google Ads,Điện tử,216000,4,0.062,864000,810013,158408,176381,Ví điện tử,Mobile,2.0,4.0,0
39,2024-01-07,2815,19.0,Nam,Hà Nội,Referral,Điện tử,170000,2,0.216,340000,266595,127609,11377,Chuyển khoản,Desktop,3.0,5.0,0
40,2024-01-07,1029,22.0,Nữ,Hà Nội,Facebook Ads,Mỹ phẩm,200000,4,0.088,800000,729502,87767,378434,COD,Mobile,1.0,4.0,0
41,2024-01-07,434,30.0,Nữ,Hà Nội,Referral,Thời trang,151000,5,0.029,755000,733426,85917,303841,Ví điện tử,Mobile,2.0,4.0,0
42,2024-01-07,1456,32.0,Nam,Hải Phòng,Referral,Thời trang,162000,4,0.205,648000,515042,94419,137366,Chuyển khoản,Mobile,1.0,4.0,0
43,2024-01-08,542,33.0,Nam,Đà Nẵng,Facebook Ads,Thực phẩm,97000,6,0.168,582000,484092,66135,87282,COD,Mobile,0.0,5.0,0
44,2024-01-08,2875,28.0,Nữ,TP.HCM,Referral,Sách,121000,4,0.158,484000,407670,80395,86090,Ví điện tử,Mobile,2.0,5.0,0
45,2024-01-08,1509,30.0,Nam,Đà Nẵng,Organic,Thời trang,124000,1,0.071,124000,115241,64612,50629,COD,Mobile,3.0,3.0,0
46,2024-01-08,3085,46.0,Nam,Hà Nội,Organic,Mỹ phẩm,199000,2,0.088,398000,362911,88978,184955,COD,Mobile,4.0,4.0,1
47,2024-01-08,1591,27.0,Nam,Hà Nội,Organic,Mỹ phẩm,238000,5,0.121,1190000,1045663,103715,527088,Thẻ tín dụng,Desktop,2.0,,0
48,2024-01-08,32,30.0,Nam,Hải Phòng,Organic,Điện tử,292000,5,0.046,1460000,1393020,204815,368945,Thẻ tín dụng,Desktop,4.0,4.0,0
49,2024-01-08,2075,22.0,Nam,Đà Nẵng,Google Ads,Mỹ phẩm,120000,5,0.094,600000,543399,51608,285359,COD,Desktop,2.0,5.0,0
50,2024-01-08,972,30.0,Nam,TP.HCM,Organic,Thời trang,235000,7,0.057,1645000,1551288,136287,597279,Ví điện tử,Desktop,5.0,4.0,0
51,2024-01-09,894,25.0,Nữ,TP.HCM,Organic,Thời trang,118000,6,0.029,708000,687617,69302,271805,Thẻ tín dụng,Desktop,2.0,4.0,0
52,2024-01-10,2174,46.0,Nam,TP.HCM,Organic,Mỹ phẩm,200000,2,0.048,400000,380959,89964,201031,Ví điện tử,Mobile,3.0,4.0,0
53,2024-01-10,805,31.0,Nam,TP.HCM,Google Ads,Thực phẩm,139000,4,0.057,556000,524394,97842,133026,Thẻ tín dụng,Desktop,2.0,4.0,0
54,2024-01-10,2729,44.0,Nữ,Hà Nội,Google Ads,Thực phẩm,105000,3,0.134,315000,272859,77168,41355,COD,Mobile,4.0,4.0,0
55,2024-01-10,1576,32.0,Nam,TP.HCM,Organic,Điện tử,369000,3,0.102,1107000,993995,280135,153590,COD,Mobile,4.0,5.0,0
56,2024-01-11,2191,31.0,Nam,TP.HCM,Facebook Ads,Thời trang,129000,3,0.034,387000,373799,82054,127637,COD,Mobile,5.0,5.0,0
57,2024-01-11,1142,30.0,Nam,TP.HCM,Organic,Thời trang,134000,6,0.193,804000,649102,72915,211612,COD,Tablet,2.0,5.0,0
58,2024-01-12,1974,37.0,Nữ,Hải Phòng,Facebook Ads,Điện tử,733000,4,0.015,2932000,2887793,446154,1103177,Chuyển khoản,Mobile,5.0,4.0,0
59,2024-01-12,1102,26.0,Nữ,Cần Thơ,Organic,Thực phẩm,142000,3,0.093,426000,386395,107155,64930,COD,Mobile,5.0,3.0,0
60,2024-01-12,518,28.0,Nam,Đà Nẵng,Organic,Gia dụng,345000,2,0.255,690000,513871,202567,108737,Thẻ tín dụng,Desktop,2.0,4.0,0
61,2024-01-12,432,34.0,Nam,TP.HCM,Google Ads,Điện tử,265000,3,0.107,795000,710132,191760,134852,Ví điện tử,Mobile,5.0,4.0,0
62,2024-01-12,108,31.0,Nữ,Đà Nẵng,Google Ads,Mỹ phẩm,258000,4,0.231,1032000,793215,106200,368415,Ví điện tử,Desktop,2.0,5.0,0
63,2024-01-13,390,18.0,Nữ,Hải Phòng,Organic,Thực phẩm,94000,4,0.161,376000,315425,68978,39513,COD,Desktop,5.0,3.0,0
64,2024-01-13,1999,33.0,Nam,Đà Nẵng,Google Ads,Gia dụng,211000,5,0.179,1055000,866347,125511,238792,Chuyển khoản,Mobile,1.0,5.0,0
65,2024-01-13,1099,25.0,Nam,Cần Thơ,Google Ads,Điện tử,224000,3,0.158,672000,565898,167091,64625,COD,Desktop,1.0,5.0,0
66,2024-01-13,2248,31.0,Nữ,TP.HCM,Organic,Điện tử,402000,2,0.034,804000,776757,291416,193925,Thẻ tín dụng,Mobile,2.0,4.0,0
67,2024-01-13,2855,36.0,Nữ,TP.HCM,Referral,Điện tử,432000,2,0.188,864000,701512,328763,43986,COD,Desktop,3.0,4.0,0
68,2024-01-13,2569,18.0,Nam,Hà Nội,Email,Sách,116000,6,0.041,696000,667302,73235,227892,Thẻ tín dụng,Mobile,2.0,5.0,0
69,2024-01-13,1402,28.0,Nam,Hải Phòng,Facebook Ads,Điện tử,319000,1,0.024,319000,311336,238081,73255,Chuyển khoản,Desktop,5.0,4.0,0
70,2024-01-13,90,28.0,Nữ,Hải Phòng,Google Ads,Thời trang,174000,4,0.139,696000,599140,97806,207916,Chuyển khoản,Mobile,,5.0,0
71,2024-01-13,2264,44.0,Nam,TP.HCM,Organic,Thời trang,126000,3,0.03,378000,366492,66628,166608,COD,Mobile,8.0,3.0,0
72,2024-01-14,1065,29.0,Nữ,Hải Phòng,Email,Thời trang,174000,3,0.034,522000,504496,100175,203971,Ví điện tử,Mobile,1.0,4.0,0
73,2024-01-15,1807,31.0,Nữ,Đà Nẵng,Facebook Ads,Mỹ phẩm,128000,2,0.079,256000,235730,53886,127958,Thẻ tín dụng,Mobile,6.0,3.0,0
74,2024-01-15,2571,37.0,Nam,Đà Nẵng,Facebook Ads,Thời trang,78000,3,0.112,234000,207755,41404,83543,Ví điện tử,Desktop,1.0,5.0,0
75,2024-01-15,1582,20.0,Nữ,Hà Nội,Facebook Ads,Gia dụng,377000,3,0.091,1131000,1028163,215689,381096,Ví điện tử,Mobile,3.0,4.0,0
76,2024-01-15,3031,30.0,Nam,Hà Nội,Facebook Ads,Thời trang,92000,3,0.127,276000,240977,50924,88205,Thẻ tín dụng,Desktop,0.0,5.0,0
77,2024-01-15,977,18.0,Nữ,TP.HCM,Organic,Thời trang,206000,31,0.02,6386000,6258763,115884,2666359,Ví điện tử,Mobile,4.0,4.0,0
78,2024-01-15,2104,32.0,Nữ,Hà Nội,Organic,Điện tử,292000,2,0.111,584000,519268,221335,76598,Ví điện tử,Mobile,1.0,4.0,0
79,2024-01-15,2939,46.0,Nữ,Đà Nẵng,Facebook Ads,Thời trang,186000,5,0.043,930000,889702,106147,358967,Ví điện tử,Mobile,2.0,4.0,0
80,2024-01-16,212,33.0,Nam,Hà Nội,Google Ads,Điện tử,298000,4,0.218,1192000,932238,222035,44098,Ví điện tử,Mobile,1.0,5.0,0
81,2024-01-16,2355,25.0,Nam,Hà Nội,Organic,Thực phẩm,105000,3,0.044,315000,301249,69483,92800,Ví điện tử,Mobile,1.0,4.0,0
82,2024-01-16,487,23.0,Nữ,Hải Phòng,Google Ads,Thời trang,182000,3,0.026,546000,531761,101170,228251,Ví điện tử,Mobile,3.0,4.0,0
83,2024-01-17,2413,22.0,Nam,TP.HCM,Organic,Thời trang,114000,6,0.079,684000,629742,61983,257844,Thẻ tín dụng,Desktop,1.0,4.0,0
84,2024-01-17,201,18.0,Nữ,Hà Nội,Referral,Thời trang,204000,6,0.081,1224000,1125182,113882,441890,Chuyển khoản,Desktop,1.0,4.0,0
85,2024-01-17,1182,30.0,Nữ,Hải Phòng,Facebook Ads,Mỹ phẩm,330000,4,0.054,1320000,1248188,145161,667544,COD,Desktop,8.0,3.0,0
86,2024-01-17,1724,18.0,Nam,Hà Nội,Organic,Thời trang,185000,1,0.175,185000,152627,95853,56774,Ví điện tử,Tablet,3.0,4.0,0
87,2024-01-17,586,26.0,Nam,Hà Nội,Facebook Ads,Thực phẩm,147000,4,0.075,588000,543943,104942,124175,Chuyển khoản,Mobile,5.0,2.0,0
88,2024-01-17,2352,36.0,Nữ,Hải Phòng,Google Ads,Gia dụng,248000,3,0.082,744000,683308,142935,254503,Thẻ tín dụng,Mobile,1.0,4.0,0
89,2024-01-18,13,29.0,Nam,Hà Nội,Email,Gia dụng,381000,3,0.128,1143000,997133,238848,280589,Chuyển khoản,Tablet,6.0,3.0,0
90,2024-01-18,1783,33.0,Nam,Cần Thơ,Email,Thời trang,144000,6,0.149,864000,735076,77199,271882,Thẻ tín dụng,Mobile,1.0,4.0,0
91,2024-01-18,2391,24.0,Nữ,Hà Nội,Organic,Thời trang,187000,5,0.106,935000,836130,99281,339725,Thẻ tín dụng,Mobile,1.0,5.0,0
92,2024-01-18,1058,23.0,Nữ,Hà Nội,Facebook Ads,Gia dụng,172000,4,0.067,688000,642217,103257,229189,Thẻ tín dụng,Tablet,,3.0,0
93,2024-01-19,3286,45.0,Nam,Hải Phòng,Organic,Thời trang,187000,3,0.095,561000,507606,98377,212475,Ví điện tử,Mobile,4.0,4.0,0
94,2024-01-19,2970,41.0,Nữ,TP.HCM,Facebook Ads,Thời trang,150000,4,0.155,600000,506911,78687,192163,COD,Mobile,3.0,3.0,1
95,2024-01-19,1433,32.0,Nam,Hải Phòng,Google Ads,Gia dụng,235000,2,0.064,470000,439733,139603,160527,Thẻ tín dụng,Desktop,4.0,3.0,0
96,2024-01-19,971,18.0,Nam,Cần Thơ,Facebook Ads,Thời trang,144000,4,0.03,576000,558697,72931,266973,Ví điện tử,Tablet,1.0,5.0,0
97,2024-01-19,1532,39.0,Nữ,Hà Nội,Organic,Gia dụng,286000,5,0.075,1430000,1322790,169483,475375,Ví điện tử,Desktop,1.0,4.0,0
98,2024-01-20,2201,48.0,Nam,Đà Nẵng,Google Ads,Mỹ phẩm,139000,4,0.154,556000,470132,67430,200412,COD,Mobile,1.0,4.0,0
99,2024-01-20,1712,26.0,Nữ,Hà Nội,Facebook Ads,Thời trang,124000,7,0.099,868000,781836,66901,313529,COD,Mobile,3.0,4.0,0
100,2024-01-20,763,28.0,Nữ,TP.HCM,Referral,Thời trang,248000,2,0.044,496000,473962,131787,210388,Ví điện tử,Mobile,1.0,5.0,0
101,2024-01-20,501,34.0,Nữ,Đà Nẵng,Facebook Ads,Điện tử,388000,1,0.028,388000,377062,283359,93703,Ví điện tử,Mobile,1.0,4.0,0
102,2024-01-20,71,36.0,Nữ,Hải Phòng,Google Ads,Thực phẩm,126000,3,0.055,378000,357047,83834,105545,Ví điện tử,Desktop,6.0,4.0,0
103,2024-01-20,2140,36.0,Nam,Hải Phòng,Facebook Ads,Thời trang,178000,5,0.089,890000,811163,106809,277118,Chuyển khoản,Mobile,1.0,5.0,0
104,2024-01-21,1208,42.0,Nam,Hà Nội,Google Ads,Thời trang,231000,2,0.071,462000,429244,129737,169770,COD,Desktop,2.0,4.0,0
105,2024-01-21,287,27.0,Nữ,Hải Phòng,Organic,Gia dụng,291000,2,0.08,582000,535626,173497,188632,COD,Mobile,3.0,4.0,0
106,2024-01-21,1178,29.0,Nam,Hải Phòng,Email,Điện tử,400000,5,0.192,2000000,1615896,298405,123871,Ví điện tử,Mobile,1.0,4.0,1
107,2024-01-21,3287,34.0,Nam,Hà Nội,Email,Sách,108000,3,0.191,324000,262275,71859,46698,COD,Tablet,2.0,5.0,0
108,2024-01-21,2629,46.0,Nữ,TP.HCM,Organic,Sách,112000,2,0.345,224000,146616,76464,-6312,COD,Mobile,3.0,5.0,0
109,2024-01-21,987,38.0,Nữ,TP.HCM,Referral,Điện tử,410000,4,0.19,1640000,1328139,309370,90659,Ví điện tử,Desktop,2.0,4.0,0
110,2024-01-21,1363,39.0,Nam,Hà Nội,Organic,Điện tử,199000,2,0.059,398000,374436,134176,106084,Thẻ tín dụng,Mobile,1.0,5.0,1
111,2024-01-21,885,27.0,Nữ,Hà Nội,Facebook Ads,Thời trang,131000,6,0.023,786000,767849,71599,338255,Chuyển khoản,Desktop,2.0,5.0,0
112,2024-01-22,645,25.0,Nữ,TP.HCM,Organic,Gia dụng,247000,5,0.16,1235000,1037174,140321,335569,COD,Mobile,4.0,3.0,0
113,2024-01-22,1087,18.0,Nữ,Đà Nẵng,Google Ads,Thời trang,301000,6,0.182,1806000,1477869,160411,515403,Ví điện tử,Mobile,3.0,5.0,0
114,2024-01-22,2388,45.0,Nữ,Hải Phòng,Google Ads,Thời trang,96000,5,0.091,480000,436272,52101,175767,COD,Desktop,2.0,5.0,0
115,2024-01-23,89,25.0,Nữ,TP.HCM,Referral,Thời trang,149000,4,0.143,596000,510782,86070,166502,Ví điện tử,Mobile,9.0,3.0,0
116,2024-01-23,2715,32.0,Nữ,Cần Thơ,Google Ads,Gia dụng,211000,3,0.243,633000,478960,127127,97579,Ví điện tử,Mobile,1.0,5.0,0
117,2024-01-23,2676,21.0,Nam,Hà Nội,Facebook Ads,Sách,132000,4,0.07,528000,491298,87864,139842,COD,Desktop,1.0,4.0,0
118,2024-01-23,1965,27.0,Nữ,Cần Thơ,Organic,Gia dụng,217000,3,0.028,651000,632864,131787,237503,Chuyển khoản,Desktop,6.0,4.0,0
119,2024-01-24,1655,39.0,Nam,TP.HCM,Facebook Ads,Sách,102000,1,0.066,102000,95287,66897,28390,Ví điện tử,Mobile,3.0,4.0,0
120,2024-01-24,1283,18.0,Nam,TP.HCM,Google Ads,Điện tử,126000,6,0.052,756000,716839,87208,193591,Ví điện tử,Mobile,7.0,3.0,0
121,2024-01-24,1178,29.0,Nam,Hà Nội,Google Ads,Gia dụng,184000,3,0.05,552000,524553,111874,188931,Thẻ tín dụng,Desktop,3.0,5.0,0
122,2024-01-24,1535,21.0,Nam,TP.HCM,Organic,Điện tử,681000,1,0.016,681000,670112,525617,144495,Ví điện tử,Mobile,0.0,4.0,0
123,2024-01-24,1177,30.0,Nữ,Cần Thơ,Facebook Ads,Mỹ phẩm,228000,4,0.149,912000,775705,111335,330365,Chuyển khoản,Mobile,4.0,5.0,0
124,2024-01-24,2478,18.0,Nữ,TP.HCM,Google Ads,Mỹ phẩm,231000,3,0.114,693000,613864,101223,310195,Ví điện tử,Mobile,3.0,4.0,0
125,2024-01-24,1911,23.0,Nam,TP.HCM,Google Ads,Mỹ phẩm,268000,3,0.071,804000,746952,124041,374829,Ví điện tử,Mobile,1.0,4.0,0
126,2024-01-24,747,38.0,Nam,Đà Nẵng,Referral,Điện tử,411000,4,0.08,1644000,1512349,299125,315849,Ví điện tử,Mobile,3.0,4.0,0
127,2024-01-25,2616,18.0,Nam,Hà Nội,Google Ads,Điện tử,379000,5,0.126,1895000,1655862,281800,246862,Ví điện tử,Mobile,3.0,4.0,0
128,2024-01-25,2943,31.0,Nữ,Đà Nẵng,Organic,Thời trang,170000,3,0.021,510000,499184,92906,220466,COD,Desktop,5.0,4.0,0
129,2024-01-25,1183,18.0,Nam,Đà Nẵng,Facebook Ads,Sách,92000,2,0.058,184000,173290,62273,48744,COD,Desktop,2.0,4.0,0
130,2024-01-25,831,34.0,Nam,TP.HCM,Google Ads,Điện tử,251000,4,0.169,1004000,833827,198455,40007,Chuyển khoản,Tablet,4.0,5.0,0
131,2024-01-25,2421,38.0,Nữ,TP.HCM,Google Ads,Sách,82000,7,0.097,574000,518582,55005,133547,Thẻ tín dụng,Tablet,1.0,4.0,0
132,2024-01-26,1244,25.0,Nam,Hải Phòng,Email,Mỹ phẩm,255000,4,0.147,1020000,870332,114824,411036,COD,Mobile,3.0,4.0,0
133,2024-01-26,1097,45.0,Nữ,Hải Phòng,Facebook Ads,Điện tử,302000,4,0.174,1208000,998202,242949,26406,Thẻ tín dụng,Desktop,4.0,5.0,0
134,2024-01-26,2610,23.0,Nam,Hải Phòng,Facebook Ads,Điện tử,189000,3,0.099,567000,510840,133765,109545,Thẻ tín dụng,Mobile,2.0,5.0,0
135,2024-01-26,666,28.0,Nam,TP.HCM,Organic,Sách,88000,5,0.19,440000,356611,55521,79006,Ví điện tử,Desktop,3.0,4.0,0
136,2024-01-26,146,18.0,Nữ,TP.HCM,Facebook Ads,Gia dụng,212000,2,0.152,424000,359709,126159,107391,Ví điện tử,Desktop,4.0,3.0,0
137,2024-01-26,435,25.0,Nữ,Hải Phòng,Facebook Ads,Thực phẩm,115000,5,0.151,575000,488444,74741,114739,Chuyển khoản,Tablet,0.0,4.0,0
138,2024-01-26,668,29.0,Nam,TP.HCM,Facebook Ads,Thời trang,100000,3,0.019,300000,294179,52955,135314,Ví điện tử,Mobile,4.0,3.0,0
139,2024-01-26,1764,29.0,Nam,Đà Nẵng,Google Ads,Thực phẩm,129000,7,0.066,903000,843034,90001,213027,Thẻ tín dụng,Desktop,1.0,4.0,0
140,2024-01-27,1335,20.0,Nam,Hà Nội,Organic,Gia dụng,180000,6,0.076,1080000,998423,115683,304325,Ví điện tử,Mobile,3.0,4.0,0
141,2024-01-27,2640,18.0,Nữ,TP.HCM,Referral,Điện tử,293000,4,0.16,1172000,984767,198843,189395,COD,Desktop,3.0,4.0,0
142,2024-01-27,135,38.0,Nữ,TP.HCM,Google Ads,Gia dụng,309000,3,0.187,927000,753287,195303,167378,Chuyển khoản,Tablet,2.0,4.0,0
143,2024-01-27,617,18.0,Nam,Đà Nẵng,Google Ads,Thời trang,207000,2,0.11,414000,368496,113267,141962,Ví điện tử,Mobile,3.0,4.0,0
144,2024-01-27,2646,37.0,Nam,Cần Thơ,Facebook Ads,Thời trang,167000,4,0.089,668000,608772,92368,239300,Thẻ tín dụng,Mobile,5.0,3.0,1
145,2024-01-27,1301,31.0,Nữ,Đà Nẵng,Google Ads,Thời trang,278000,3,0.1,834000,750367,157730,277177,Thẻ tín dụng,Mobile,2.0,5.0,0
146,2024-01-28,2931,28.0,Nam,Hà Nội,Google Ads,Thời trang,163000,4,0.043,652000,624199,92881,252675,COD,Desktop,1.0,5.0,0
147,2024-01-28,1249,33.0,Nam,TP.HCM,Google Ads,Gia dụng,279000,2,0.072,558000,517559,158099,201361,Thẻ tín dụng,Desktop,6.0,4.0,0
148,2024-01-28,2601,20.0,Nữ,Đà Nẵng,Referral,Sách,68000,7,0.054,476000,450270,41187,161961,Thẻ tín dụng,Mobile,2.0,5.0,0
149,2024-01-28,974,40.0,Nam,Hải Phòng,Google Ads,Thời trang,124000,2,0.151,248000,210644,68086,74472,Chuyển khoản,Mobile,,4.0,0
150,2024-01-28,2311,31.0,Nam,Đà Nẵng,Google Ads,Thời trang,125000,3,0.09,375000,341434,66464,142042,COD,Desktop,,5.0,0
151,2024-01-28,2986,37.0,Nam,Đà Nẵng,Facebook Ads,Gia dụng,243000,3,0.174,729000,602060,149491,153587,Thẻ tín dụng,Mobile,3.0,4.0,0
152,2024-01-28,3295,30.0,Nữ,TP.HCM,Organic,Thời trang,140000,5,0.178,700000,575590,80034,175420,Ví điện tử,Mobile,1.0,3.0,0
153,2024-01-29,1049,37.0,Nữ,Cần Thơ,Facebook Ads,Thời trang,158000,2,0.169,316000,262555,85703,91149,COD,Mobile,3.0,5.0,0
154,2024-01-29,977,18.0,Nữ,Đà Nẵng,Google Ads,Gia dụng,361000,3,0.08,1083000,996376,212772,358060,Chuyển khoản,Desktop,2.0,5.0,0
155,2024-01-29,2470,27.0,Nữ,TP.HCM,Google Ads,Gia dụng,205000,9,0.094,1845000,1671813,127161,527364,Thẻ tín dụng,Mobile,2.0,,0
156,2024-01-30,149,21.0,Nam,TP.HCM,Google Ads,Điện tử,339000,4,0.145,1356000,1159666,243183,186934,COD,Mobile,7.0,,0
157,2024-01-30,262,24.0,Nữ,Cần Thơ,Google Ads,Thời trang,130000,4,0.138,520000,448497,75528,146385,Thẻ tín dụng,Desktop,8.0,4.0,0
158,2024-01-31,1338,43.0,Nữ,Hải Phòng,Organic,Thời trang,133000,3,0.126,399000,348596,73933,126797,Thẻ tín dụng,Mobile,1.0,5.0,0
159,2024-01-31,1530,32.0,Nữ,TP.HCM,Google Ads,Thời trang,164000,5,0.099,820000,738885,90102,288375,COD,Mobile,2.0,4.0,0
160,2024-01-31,1972,35.0,Nam,Hà Nội,Facebook Ads,Gia dụng,226000,2,0.073,452000,419218,134607,150004,Ví điện tử,Mobile,1.0,5.0,0
161,2024-01-31,783,28.0,Nam,Hà Nội,Organic,Thời trang,224000,2,0.094,448000,405739,127595,150549,COD,Desktop,4.0,3.0,0
162,2024-01-31,1609,39.0,Nam,Đà Nẵng,Organic,Mỹ phẩm,157000,3,0.062,471000,441807,70513,230268,Ví điện tử,Desktop,3.0,4.0,0
163,2024-01-31,2933,23.0,Nữ,Hải Phòng,Facebook Ads,Mỹ phẩm,226000,3,0.038,678000,651900,95531,365307,COD,Mobile,3.0,5.0,0
164,2024-01-31,2140,36.0,Nam,TP.HCM,Referral,Mỹ phẩm,126000,6,0.076,756000,698520,58666,346524,COD,Desktop,1.0,4.0,0
