date,marketing_spend_vnd,website_visits,daily_net_revenue_vnd
2024-04-25,3583260,43437,6899591
2024-04-26,3988236,47902,2689245
2024-04-27,3787715,45626,8346031
2024-04-28,3349349,40453,5931795
2024-04-29,3719495,44870,9011801
2024-04-30,2895378,35146,2844358
2024-05-01,3908022,47176,5127810
2024-05-02,3997941,48535,5299728
2024-05-03,3315293,40073,6938003
2024-05-04,4572246,55128,6155765
2024-05-05,3173036,38087,3331983
2024-05-06,3146105,38011,4131622
2024-05-07,4226026,50786,6179471
2024-05-08,4030480,48539,3947607
2024-05-09,3490361,42133,1548295
2024-05-10,3859764,46604,8090193
2024-05-11,3718874,44853,1441800
2024-05-12,3691506,44342,13658149
2024-05-13,3948213,47420,2810610
2024-05-14,3660313,43947,12078329
2024-05-15,3549676,42881,3355715
2024-05-16,3576474,43091,8339533
2024-05-17,5165930,62236,3941900
2024-05-18,4456196,53504,6322471
2024-05-19,3708293,44603,5184882
2024-05-20,3219924,39030,803812
2024-05-21,3740344,45034,5816371
2024-05-22,2817521,34253,4092936
2024-05-23,4545033,54840,6040096
2024-05-24,3413523,41092,3770767
2024-05-25,3977191,48102,9190069
2024-05-26,4607029,55527,8617420
2024-05-27,4674940,56135,1821965
2024-05-28,3428253,41346,6114684
2024-05-29,4181989,50394,7947286
2024-05-30,4942992,59405,6299896
2024-05-31,2898384,34903,1863230
2024-06-01,3583107,42917,4704214
2024-06-02,4220174,50861,4874388
2024-06-03,3304066,39779,2924602
2024-06-04,3485072,41942,5178246
2024-06-05,4129749,49869,4774157
2024-06-06,4591478,55736,3806168
2024-06-07,4516172,54331,9220480
2024-06-08,3564748,43034,7655581
2024-06-09,3929183,47509,8617551
2024-06-10,3180194,38426,4094623
2024-06-11,4734862,57026,2482794
2024-06-12,4043530,48786,3363565
2024-06-13,3731428,45025,6063298
2024-06-14,3801205,45736,6942792
2024-06-15,3940802,47602,4110381
2024-06-16,3716517,44817,3742263
2024-06-17,3645038,43936,6417384
2024-06-18,3482409,41951,3430635
2024-06-19,4087192,49338,4012557
2024-06-20,3135638,37808,4472841
2024-06-21,3956595,47891,10112720
2024-06-22,2968772,35705,5658860
2024-06-23,4435011,53455,3707635
2024-06-24,3196966,38891,6501917
2024-06-25,3477131,41909,6430478
2024-06-26,3627917,43543,5300043
2024-06-27,3551374,42925,4548892
2024-06-28,5232116,62821,3203951
2024-06-29,3531415,42822,3892904
2024-06-30,3931579,47346,7477357
2024-07-01,3085764,37202,5180287
2024-07-02,4850027,58373,5215127
2024-07-03,3700793,44545,2912953
2024-07-04,3080611,37140,6822069
2024-07-05,4669970,56195,5776356
2024-07-06,4423677,53271,11376255
2024-07-07,4021004,48514,7408198
2024-07-08,3790796,45653,2552429
2024-07-09,3825262,46557,9273794
2024-07-10,4416527,53222,2334110
2024-07-11,4519530,54570,8340789
2024-07-12,2354941,28347,2030623
2024-07-13,3661485,44116,6099042
2024-07-14,4063926,48906,6013043
2024-07-15,3363109,40844,6893990
2024-07-16,3300547,39866,7056206
2024-07-17,4084332,49134,7050962
2024-07-18,4677849,56096,5093722
2024-07-19,3805576,45964,3052282
2024-07-20,3832282,46263,2348439
2024-07-21,3285384,39805,6392120
2024-07-22,4648964,55947,5420677
2024-07-23,4017441,48463,2337375
2024-07-24,3942373,47628,3235446
2024-07-25,3933509,47262,1902541
2024-07-26,4368651,52805,4870793
2024-07-27,3828486,45899,9126155
2024-07-28,4433821,53488,11250676
2024-07-29,3622829,43607,5302661
2024-07-30,3412127,41108,4972240
2024-07-31,3290357,39803,5413168
2024-08-01,3218449,39024,2427438
2024-08-02,2846339,34404,3450775
2024-08-03,5012965,60322,7496798
2024-08-04,4708956,56609,5702981
2024-08-05,3628718,43536,5067075
2024-08-06,3789880,45590,3916392
2024-08-07,3854239,46541,5534496
2024-08-08,4152042,50093,2198893
2024-08-09,4366554,52575,3477669
2024-08-10,4407431,53054,1381489
2024-08-11,3388339,41031,3789831
2024-08-12,3606508,43584,3509762
2024-08-13,3555970,42931,5177765
2024-08-14,1810324,21739,7524453
2024-08-15,3876044,46676,4239726
2024-08-16,2349693,28617,5159206
2024-08-17,4982911,60062,1784529
2024-08-18,3145633,37663,8847612
2024-08-19,3752001,45246,3431372
2024-08-20,4534967,54745,7701404
2024-08-21,3249033,39136,6203131
2024-08-22,3948818,47642,5452225
2024-08-23,3200871,38964,7063575
2024-08-24,3884982,46593,9340246
2024-08-25,3598393,43191,6156848
2024-08-26,4144997,49837,4645461
2024-08-27,3967213,47602,3440135
2024-08-28,4064466,49037,3055350
2024-08-29,3827645,46182,4894775
2024-08-30,3406301,41068,5827649
2024-08-31,4370616,52627,3170009
2024-09-01,4216501,50811,10180055
2024-09-02,3078403,37148,1722494
2024-09-03,4265110,51262,3611126
2024-09-04,4202104,50645,4640821
2024-09-05,4346043,52534,2115653
2024-09-06,4043756,48794,4773492
2024-09-07,3485382,41894,6778482
2024-09-08,4055245,48868,6806404
2024-09-09,3023960,36197,1144117
2024-09-10,4156942,49747,3012600
2024-09-11,4518388,54396,818428
2024-09-12,4972976,59977,2624934
2024-09-13,3566902,43115,8788746
2024-09-14,2944730,35094,5603682
2024-09-15,3559088,43295,10196320
2024-09-16,3353724,40399,4832479
2024-09-17,3445148,41554,5538304
2024-09-18,4788133,57623,2548978
2024-09-19,3918915,47330,5203529
2024-09-20,4604550,55310,4639211
2024-09-21,4598567,55148,5730231
2024-09-22,4537705,54993,5306545
2024-09-23,4104537,49484,5632701
2024-09-24,3530173,42448,5274084
2024-09-25,4111469,49560,4351502
2024-09-26,5014097,60654,7024197
2024-09-27,3857843,46685,4174845
2024-09-28,4263556,51504,7274253
2024-09-29,3500807,42053,2664264
2024-09-30,3632317,43681,4768199
2024-10-01,3557674,42925,5633346
2024-10-02,4777926,57625,1655620
2024-10-03,3711589,45019,4971386
2024-10-04,3938006,47373,14611465
2024-10-05,5028615,60597,2912236
2024-10-06,4487051,54163,3972950
2024-10-07,3897256,46998,5967064
2024-10-08,3967214,47972,4776132
2024-10-09,3886817,47256,6948285
2024-10-10,4431708,53505,5538450
2024-10-11,3569462,42753,2531976
2024-10-12,3913671,47291,7786981
2024-10-13,3752877,45398,6000981
2024-10-14,4445537,53437,4265221
2024-10-15,4506225,54307,3875687
2024-10-16,3852138,46285,5845911
2024-10-17,3958991,47938,6166361
2024-10-18,4734500,57204,4306797
2024-10-19,4438770,53424,8333949
2024-10-20,3586789,43330,6173272
2024-10-21,3429537,41228,5477154
2024-10-22,3972639,47615,8507562
2024-10-23,4627205,55840,2528916
2024-10-24,4123929,49485,5498326
2024-10-25,3508858,42137,5004183
2024-10-26,4786000,57606,11895364
2024-10-27,3756028,45201,5274180
2024-10-28,3801522,45491,2191670
2024-10-29,5209036,62658,5290969
2024-10-30,3542537,42642,7796549
2024-10-31,3891683,47016,4241473
2024-11-01,6422690,77491,7849522
2024-11-02,5326947,64247,14512066
2024-11-03,7477307,89793,12219525
2024-11-04,6151386,74114,3651067
2024-11-05,6450017,77717,4183210
2024-11-06,6083171,73163,9134527
2024-11-07,5070513,60956,4759392
2024-11-08,6837085,82030,9570645
2024-11-09,7755850,93082,27673557
2024-11-10,5434989,65433,13028038
2024-11-11,6202946,74731,1539248
2024-11-12,7082818,85227,6845773
2024-11-13,5871619,70798,5050089
2024-11-14,6033801,72521,3675503
2024-11-15,6436555,77310,7556750
2024-11-16,6228868,74968,6814610
2024-11-17,6854030,82564,7599619
2024-11-18,5564164,66899,3981696
2024-11-19,6355719,76271,6841283
2024-11-20,5860756,70711,5396387
2024-11-21,6271460,75378,9781683
2024-11-22,6567370,79182,10881454
2024-11-23,5811352,70036,11066624
2024-11-24,5927876,71272,7882959
2024-11-25,6142929,73819,4502012
2024-11-26,5002393,60229,6299221
2024-11-27,5619646,67267,7655855
2024-11-28,5164095,62428,5205075
2024-11-29,6032471,72617,7331016
2024-11-30,7116889,85719,5002906
2024-12-01,7405165,88855,7328092
2024-12-02,7345405,88593,6048435
2024-12-03,6257920,75215,5126547
2024-12-04,5042404,60676,5738814
2024-12-05,5008473,60299,8937548
2024-12-06,6474452,77754,8369575
2024-12-07,6130965,73675,14229551
2024-12-08,5646033,68121,7489912
2024-12-09,6940553,83619,8227754
2024-12-10,7529711,90595,9031215
2024-12-11,6513152,78199,4274436
2024-12-12,6919027,83157,2720513
2024-12-13,5660306,68159,5757183
2024-12-14,6075813,73155,9124369
2024-12-15,3545340,42865,11806482
2024-12-16,7084622,85036,13261600
2024-12-17,6752853,81258,8407745
2024-12-18,6107512,73716,8320778
2024-12-19,7284450,87641,11174225
2024-12-20,6504769,78394,5440708
2024-12-21,6555089,78717,8092866
2024-12-22,7605848,91581,6980691
2024-12-23,5683021,68376,9487358
2024-12-24,5679795,68067,4860627
2024-12-25,5707968,69085,11623479
2024-12-26,5051282,60875,10403874
2024-12-27,7761426,93555,7534557
2024-12-28,5565767,67117,12479210
2024-12-29,6227892,74757,17246012
2024-12-30,6398630,76914,10296303
2024-12-31,6587494,79257,10365633
2025-01-01,4161286,50590,2351242
2025-01-02,2947265,35618,6505818
2025-01-03,3068550,36840,7446886
2025-01-04,4290063,51537,5276591
2025-01-05,4991824,60318,10034164
2025-01-06,4668638,56166,3975697
2025-01-07,4463955,53665,5177103
2025-01-08,3702988,44647,6644851
2025-01-09,3559848,43291,3322969
2025-01-10,3140009,37908,8425857
2025-01-11,4377263,52910,4201557
2025-01-12,4575814,55190,4176614
2025-01-13,3954331,47566,2845517
2025-01-14,4434767,53379,3868102
2025-01-15,4205985,50782,5128215
2025-01-16,4065255,48565,4448526
2025-01-17,3801369,45678,7298461
2025-01-18,3046614,36607,10150812
2025-01-19,4054444,48937,4686200
2025-01-20,3051174,36715,9474668
2025-01-21,3802052,45745,5160698
2025-01-22,2301984,27855,2991050
2025-01-23,3667329,43918,8504061
2025-01-24,4131683,49513,4172084
2025-01-25,3092095,37429,9278829
2025-01-26,4368478,52535,6180520
2025-01-27,3316765,39745,10991183
2025-01-28,3980886,48026,3142482
2025-01-29,3695687,44506,7298307
2025-01-30,3689664,44667,4615767
2025-01-31,4501000,54264,4140133
2025-02-01,4466915,53617,4268995
2025-02-02,2907826,35010,2634296
2025-02-03,3320337,40121,926340
2025-02-04,3504055,42346,0
2025-02-05,4570948,55194,3127645
2025-02-06,3557853,42789,2795071
2025-02-07,3175952,38425,1413349
2025-02-08,3832252,46527,2603216
2025-02-09,3710577,44879,6254826
2025-02-10,3471992,41961,1886020
2025-02-11,3825321,46048,1656228
2025-02-12,4220713,50985,2706782
2025-02-13,4124207,49467,1167699
2025-02-14,4683596,56429,6622815
2025-02-15,4320213,51899,5175752
2025-02-16,4386384,52751,1808761
2025-02-17,3924495,47407,2852657
2025-02-18,3452827,41277,3675634
2025-02-19,3499376,41987,2836104
2025-02-20,3198939,38489,2637130
2025-02-21,2797091,33371,9367990
2025-02-22,4375990,52733,1107597
2025-02-23,4201435,50529,7033694
2025-02-24,3121828,37765,2336678
2025-02-25,3977477,47967,294920
2025-02-26,3961286,47694,3464422
2025-02-27,4191810,50377,2926318
2025-02-28,3580855,43348,3779437
2025-03-01,3613630,43650,6925900
2025-03-02,3647316,44142,7331958
2025-03-03,4253567,51211,5990141
2025-03-04,4299947,51727,6291065
2025-03-05,3314562,39896,3779109
2025-03-06,3811270,46208,2806296
2025-03-07,3585367,43506,4239526
2025-03-08,3699946,44640,4099794
2025-03-09,4284366,51391,6791939
2025-03-10,3881678,46812,3240851
2025-03-11,2436656,29491,7932751
2025-03-12,3921300,47403,7062456
2025-03-13,4631713,55609,3292052
2025-03-14,3812869,46018,7304661
2025-03-15,4894313,59442,3675786
2025-03-16,4220214,50656,8058578
2025-03-17,4931034,59480,2801791
2025-03-18,4940113,59592,4310365
2025-03-19,4939390,59303,7037203
2025-03-20,4188996,50578,6496352
2025-03-21,3937695,47450,4946384
2025-03-22,3287658,39750,4901235
2025-03-23,3215010,38753,7256040
2025-03-24,4595398,55394,7617748
2025-03-25,3315438,40037,4612508
2025-03-26,4674134,56252,1144188
2025-03-27,3377465,40694,3537156
2025-03-28,2623180,31666,1723201
2025-03-29,3520291,42388,5034505
2025-03-30,3184924,38368,2581525
2025-03-31,4628418,55531,5704283
2025-04-01,3644626,43826,4111412
2025-04-02,3626908,43484,2176084
2025-04-03,3500233,42359,9502643
2025-04-04,3787344,45718,6240227
2025-04-05,4213191,50833,4094655
2025-04-06,3698095,44502,8157312
2025-04-07,2872742,34537,10665964
2025-04-08,2903013,34966,6732664
2025-04-09,3259334,39197,5392922
2025-04-10,2950248,35344,1816955
2025-04-11,4536884,54637,3508326
2025-04-12,3759503,45215,8619178
2025-04-13,2989300,36077,11466623
2025-04-14,4037580,48503,7426919
2025-04-15,3368509,40414,3715085
2025-04-16,4367283,52604,2013813
2025-04-17,3405164,40748,5559831
2025-04-18,3564655,43140,3907824
2025-04-19,5399907,65015,5853279
2025-04-20,4098750,49317,6121255
2025-04-21,3810093,45896,5113203
2025-04-22,3871208,46856,5191945
2025-04-23,3436929,41419,2730972
2025-04-24,4991359,60103,1798076
2025-04-25,3292545,39599,5332321
2025-04-26,4803800,58054,3027933
2025-04-27,3820997,46108,7916423
2025-04-28,3540606,42882,2316429
2025-04-29,3452823,41328,5907313
2025-04-30,2640790,31720,8404561
2025-05-01,3567319,43012,5037903
2025-05-02,4269360,51547,4708410
2025-05-03,4013006,48511,10938404
2025-05-04,3343076,40316,5948981
2025-05-05,4149104,49859,3403962
2025-05-06,3736170,44906,7189521
2025-05-07,3641531,44102,5571402
2025-05-08,2889268,34954,3206576
2025-05-09,3438023,41607,6263058
2025-05-10,3964526,48060,4120981
2025-05-11,3953810,47183,11954295
2025-05-12,4281440,51422,4461064
2025-05-13,2691781,32313,4292180
2025-05-14,3291502,39378,3916838
2025-05-15,3604605,43525,11154750
2025-05-16,4049241,48615,2747517
2025-05-17,4072963,48972,10917863
2025-05-18,3912614,47146,8984641
2025-05-19,4369686,52634,5922880
2025-05-20,5914556,71402,4942871
2025-05-21,3685614,44490,7132494
2025-05-22,4625617,55383,2463934
2025-05-23,4822352,57963,4702408
2025-05-24,3668599,44096,5068263
2025-05-25,4145774,50237,10970544
2025-05-26,2687136,32662,6467217
2025-05-27,3607229,43471,7760549
2025-05-28,4155606,49952,927494
2025-05-29,3603874,43510,3673128
2025-05-30,3890563,46958,7324324
2025-05-31,4341584,52280,1068820
2025-06-01,4212928,50377,6971954
2025-06-02,3943735,47451,6653548
2025-06-03,3956795,47594,8128881
2025-06-04,4010443,48218,4261272
2025-06-05,3901818,46761,3011483
2025-06-06,3410451,41251,5444930
2025-06-07,3337113,40240,8214849
2025-06-08,4052837,48723,5322681
2025-06-09,3428905,41139,5859317
2025-06-10,4612297,55436,5140352
2025-06-11,2845684,34388,1767790
2025-06-12,3515144,42552,5206346
2025-06-13,4208501,50877,6876641
2025-06-14,3207352,38547,11019026
2025-06-15,3583747,43581,7454509
2025-06-16,3593752,43672,10807516
2025-06-17,4813160,57757,3543175
2025-06-18,3546624,42592,7182818
2025-06-19,4053370,48815,4714546
2025-06-20,3691141,44662,6898746
2025-06-21,3778471,45746,6004493
2025-06-22,4838593,58329,8192686
2025-06-23,3175501,38417,6061375
2025-06-24,3834503,46231,5498145
2025-06-25,3893829,46985,5611632
2025-06-26,4525331,54572,11303579
2025-06-27,3679309,44259,2955199
2025-06-28,3165786,38523,5741851
2025-06-29,3269706,39605,5372216
2025-06-30,3247609,39300,9816611
2025-07-01,4286096,51597,3184439
2025-07-02,3573761,42994,8829547
2025-07-03,4124593,49450,4621903
2025-07-04,4777175,57484,6022443
2025-07-05,4489798,54113,14090126
2025-07-06,4560150,54737,8683272
2025-07-07,3966530,47739,7278136
2025-07-08,3255753,39213,2181583
2025-07-09,4963266,59873,2847343
2025-07-10,3428926,41451,7305400
2025-07-11,4326764,52000,6686331
2025-07-12,4624278,55637,3911345
2025-07-13,3235807,38958,6077097
2025-07-14,2949038,35433,4817418
2025-07-15,4111721,49463,5901684
2025-07-16,3233106,39031,5935659
2025-07-17,4601652,55187,2696870
2025-07-18,3473816,41958,2411717
2025-07-19,4736672,56895,7460344
2025-07-20,4700457,56393,8893717
2025-07-21,3970620,47748,6003300
2025-07-22,3758254,45273,4273236
2025-07-23,4094985,49406,5810610
2025-07-24,3705135,44566,7827830
2025-07-25,3640757,43957,6875152
2025-07-26,3279488,39580,4122863
2025-07-27,4556053,55048,12151947
2025-07-28,3563363,42922,3807326
2025-07-29,4141608,49813,8208371
2025-07-30,4088768,49661,4992868
2025-07-31,3019739,36585,5802617
2025-08-01,4027986,48420,10901087
2025-08-02,4465185,53931,8229438
2025-08-03,4056609,49182,5806434
2025-08-04,4045008,48765,5655154
2025-08-05,4002360,48252,3610495
2025-08-06,4778493,57434,6697797
2025-08-07,3851114,46582,3927039
2025-08-08,4374412,52764,7950496
2025-08-09,3157202,37850,3224419
2025-08-10,3875811,46687,14780097
2025-08-11,4135173,49808,7605031
2025-08-12,3664782,44135,2249724
2025-08-13,4103885,49409,5833054
2025-08-14,4117016,49349,3600583
2025-08-15,4091767,49620,4795342
2025-08-16,3514037,42333,12344413
2025-08-17,4323377,52311,10016238
2025-08-18,3410125,41052,10911948
2025-08-19,3592615,43094,6213085
2025-08-20,4794653,57747,6805433
2025-08-21,4315337,52127,5594648
2025-08-22,3841385,46192,6134204
2025-08-23,4009987,48493,11404101
2025-08-24,4555813,54794,11697342
2025-08-25,4482651,53811,7928951
2025-08-26,4053014,48883,5264633
2025-08-27,4459528,53924,4498656
2025-08-28,3785503,45937,6026067
2025-08-29,4122296,49457,9153816
2025-08-30,3694512,44431,4119314
2025-08-31,4070521,48960,4428737
2025-09-01,2843235,34249,4287411
2025-09-02,3437060,41470,2309540
2025-09-03,3498747,42520,5397984
2025-09-04,3752635,45571,6859239
2025-09-05,3576233,43519,10220998
2025-09-06,2875101,34855,6641082
2025-09-07,4733389,56989,4437593
2025-09-08,3843341,46140,4734345
2025-09-09,4143398,49621,4898628
2025-09-10,4139999,50028,4599231
2025-09-11,3314260,39986,6522220
2025-09-12,3645087,44222,3313334
2025-09-13,4192918,50482,9779360
2025-09-14,4307356,52101,2704836
2025-09-15,4431497,53549,6208368
2025-09-16,4524811,54113,3265993
2025-09-17,4652647,56075,5431117
2025-09-18,3728099,44918,6813969
2025-09-19,2831240,33973,6991100
2025-09-20,4591192,55604,6807297
2025-09-21,4249801,51282,7889562
2025-09-22,3197199,38872,9894582
2025-09-23,3296602,39800,5154984
2025-09-24,3578950,43193,4791097
2025-09-25,3711570,44793,3287988
2025-09-26,3352023,40453,5684645
2025-09-27,4477498,54089,6726895
2025-09-28,4419666,53270,2982476
2025-09-29,3882323,46557,3444835
2025-09-30,3191175,38786,4351681
2025-10-01,3997965,48041,4037487
2025-10-02,3632780,43744,8958570
2025-10-03,2724645,32884,5745427
2025-10-04,4371138,52404,7856049
2025-10-05,3503254,42208,10049430
2025-10-06,3523151,42385,5764148
2025-10-07,3660294,44188,6221745
2025-10-08,2847067,34528,4402822
2025-10-09,4042174,48477,16061121
2025-10-10,3812403,45852,11762220
2025-10-11,4121041,49607,10864041
2025-10-12,3635024,44132,10144297
2025-10-13,3961902,47685,5464938
2025-10-14,3987037,47678,5718411
2025-10-15,3787988,45665,1438335
2025-10-16,4110724,49651,9416043
2025-10-17,3754221,45114,5924620
2025-10-18,3050456,36651,3181947
2025-10-19,3734816,44969,7399675
2025-10-20,3561023,42972,9504288
2025-10-21,3986837,47965,3998171
2025-10-22,3504765,42429,2835830
2025-10-23,3633100,43760,5453124
2025-10-24,4070838,49206,2512528
2025-10-25,4465057,53664,9309520
2025-10-26,4279620,51730,9209147
2025-10-27,3942384,47337,3062120
2025-10-28,3986459,48119,8069091
2025-10-29,5077011,61096,6953822
2025-10-30,4021247,48220,5933290
2025-10-31,3675172,44386,5070416
2025-11-01,6296528,75855,15842808
2025-11-02,7825392,94074,10458687
2025-11-03,5425747,65436,8885267
2025-11-04,6055250,73000,14364957
2025-11-05,6636351,79796,5787436
2025-11-06,6865115,82537,8520757
2025-11-07,4500583,54391,19813091
2025-11-08,6767580,81300,11034980
2025-11-09,5274189,63853,18250249
2025-11-10,8690689,104405,9631622
2025-11-11,5825277,70349,14723489
2025-11-12,5745427,69061,9565187
2025-11-13,7993280,95969,6438431
2025-11-14,5734177,69130,9932220
2025-11-15,5651557,67958,9177146
2025-11-16,7811749,93574,10925957
2025-11-17,8282505,99738,7553960
2025-11-18,6098008,73464,4085648
2025-11-19,6106131,73212,9683333
2025-11-20,5015790,60206,6783941
2025-11-21,7450200,89584,5465716
2025-11-22,6132441,73725,12676054
2025-11-23,5742327,69271,8990104
2025-11-24,7126853,85803,8842698
2025-11-25,4736705,56982,13550594
2025-11-26,6618655,79459,8980390
2025-11-27,4161551,49929,9500080
2025-11-28,6742640,81244,9100783
2025-11-29,6435022,77251,14119806
2025-11-30,7324772,88065,17796988
2025-12-01,4904032,59040,12174801
2025-12-02,5970364,71638,12231604
2025-12-03,5177864,62378,4377178
2025-12-04,4897621,59111,17064014
2025-12-05,6533253,78593,4972277
2025-12-06,7361102,88337,10790063
2025-12-07,4070364,49160,11334272
2025-12-08,7117185,85504,4042819
2025-12-09,7424621,89158,5620138
2025-12-10,7995185,96466,15378569
2025-12-11,4245198,50873,12262812
2025-12-12,7347274,88188,6781434
2025-12-13,6657562,80144,7276966
2025-12-14,6194481,74511,13673193
2025-12-15,7762362,93381,12302425
2025-12-16,5996685,72190,9601556
2025-12-17,6092080,73283,4729932
2025-12-18,4521028,54613,7404185
2025-12-19,4379248,52877,9077516
2025-12-20,6571749,79030,9627117
2025-12-21,8391276,100860,13382493
2025-12-22,7073901,85134,7357167
2025-12-23,6964389,83746,11160707
2025-12-24,4761911,57540,5978686
2025-12-25,6620594,79792,7048374
2025-12-26,7107771,85576,9285500
2025-12-27,6849139,82598,7375386
2025-12-28,4739281,57154,11451083
2025-12-29,7766032,93415,10518536
2025-12-30,6439613,77475,13235690
2025-12-31,4818612,58055,17220957
